iterm,facet,domain,New Subject,lword
building design,phenomenon_process,Architecture,architectural design,building design
massing,concept,Architecture,architectural design,massing
shell design,phenomenon_process,Architecture,architectural design,shell design
space topology,concept,Architecture,architectural design,space topology
spatial configuration,phenomenon_process,Architecture,architectural design,spatial configuration
thinking building,concept,Architecture,architectural design,thinking building
rooftop design,phenomenon_process,Architecture,architectural design,rooftop design
building envelope,concept,Architecture,architectural element,building envelope
building façade,phenomenon_object,Architecture,architectural element,building façade
building floor,phenomenon_object,Architecture,architectural element,building floor
monument,phenomenon_object,Architecture,architectural element,monument
mosque,phenomenon_object,Architecture,architectural element,mosque
window,phenomenon_object,Architecture,architectural element,window
building component,phenomenon_object,Architecture,architectural element,building component
cellular building product,phenomenon_object,Architecture,architectural element,cellular building product
primary building component,concept,Architecture,architectural element,primary building component
courtyard,phenomenon_object,Architecture,architectural element,courtyard
enclosure,concept,Architecture,architectural element,enclosure
façade,concept,Architecture,architectural element,façade
flat roof,phenomenon_object,Architecture,architectural element,flat roof
glazing,phenomenon_object,Architecture,architectural element,glazing
horizontal shading,phenomenon_object,Architecture,architectural element,horizontal shading
interior window blind,phenomenon_object,Architecture,architectural element,interior window blind
light switch,phenomenon_object,Architecture,architectural element,light switch
lobby,concept,Architecture,architectural element,lobby
modular object,phenomenon_object,Architecture,architectural element,modular object
module,phenomenon_object,Architecture,architectural element,module
partition wall,phenomenon_object,Architecture,architectural element,partition wall
pitched roof,phenomenon_object,Architecture,architectural element,pitched roof
prefabricated façade,concept,Architecture,architectural element,prefabricated façade
structural frame,phenomenon_object,Architecture,architectural elements,structural frame
bedroom,concept,Architecture,architectural elements,bedroom
structural design,phenomenon_process,Architecture,architectural engineering,structural design
traditional courtyard house,concept,Architecture,architectural style,traditional courtyard house
organic architecture,phenomenon_process,Architecture,architectural style,organic architecture
traditional and modern element,concept,Architecture,architectural style,traditional and modern element
modern vernacular,concept,Architecture,architectural style,modern vernacular
building life cycle,concept,Architecture,asset management,building life cycle
building lifespan,concept,Architecture,asset management,building lifespan
affordance,concept,Architecture,behavioral psychology,affordance
commercial building construction,phenomenon_process,Architecture,building construction,commercial building construction
community building construction,phenomenon_process,Architecture,building construction,community building construction
cultural building construction,phenomenon_process,Architecture,building construction,cultural building construction
educational building construction,phenomenon_process,Architecture,building construction,educational building construction
healthcare building construction,phenomenon_process,Architecture,building construction,healthcare building construction
high-rise construction,phenomenon_process,Architecture,building construction,high-rise construction
healthcare building construction,phenomenon_process,Architecture,building construction,hospital construction
low-rise construction,phenomenon_object,Architecture,building construction,low-rise construction
mixed-use building construction,phenomenon_object,Architecture,building construction,mixed-use building construction
office construction,phenomenon_process,Architecture,building construction,office construction
public building construction,phenomenon_process,Architecture,building construction,public building construction
retail construction,phenomenon_process,Architecture,building construction,retail construction
educational building construction,phenomenon_process,Architecture,building construction,school construction
small works,phenomenon_process,Architecture,building construction,small works project
educational building construction,phenomenon_process,Architecture,building construction,university building construction
rizing damp,phenomenon_process,Architecture,building defect,rising damp
design of building,phenomenon_process,Architecture,building design,design of building
flexible building,concept,Architecture,building design,flexible building
shading,concept,Architecture,building design,shading
smart building technology,concept,Architecture,building innovation,smart building technology
cladding,phenomenon_object,Architecture,building materials,cladding
cushion,phenomenon_object,Architecture,building materials,cushion
dry board,phenomenon_object,Architecture,building materials,dry board
earth-brick shell,phenomenon_object,Architecture,building materials,earth-brick shell
electrochromic glass,phenomenon_object,Architecture,building materials,electrochromic glass
fabric formwork,phenomenon_object,Architecture,building materials,fabric formwork
finishes,phenomenon_object,Architecture,building materials,finishes
insulation,phenomenon_object,Architecture,building materials,insulation
building material,phenomenon_object,Architecture,building materials,building material
fire protective coating,phenomenon_object,Architecture,building materials,fire protective coating
cross-laminated timber,phenomenon_object,Architecture,building materials,cross-laminated timber
tall wood,phenomenon_object,Architecture,building materials,tall wood
future adaptivity of building,concept,Architecture,building performance,future adaptivity of building
building height,concept,Architecture,building performance,building height
gross floor area,concept,Architecture,building performance,gross floor area
building adaptability,concept,Architecture,building performance,building adaptability
habitability,concept,Architecture,building performance,habitability
glare,concept,Architecture,building performance,glare
daylight factor,concept,Architecture,building performance,daylight factor
illuminance,concept,Architecture,building performance,illuminance
natural light,concept,Architecture,building performance,natural light
office lighting,concept,Architecture,building performance,office lighting
daylighting,concept,Architecture,building performance,daylighting
wayfinding,concept,Architecture,building performance,wayfinding
room temperature,analytical_technique,Architecture,building performance,room temperature
complex fenestration systems daylighting,concept,Architecture,building systems,complex fenestration systems daylighting
curtain wall,concept,Architecture,building systems,curtain wall
curtain wall system,concept,Architecture,building systems,curtain wall system
building typology,concept,Architecture,building type,building typology
age-friendly housing,phenomenon_object,Architecture,building type,age-friendly housing
ancient construction,phenomenon_object,Architecture,building type,ancient construction
apartment building,phenomenon_object,Architecture,building type,apartment building
architectural building,phenomenon_object,Architecture,building type,architectural building
auditorium,phenomenon_object,Architecture,building type,auditorium
bazaar,phenomenon_object,Architecture,building type,bazaar
built heritage asset,phenomenon_object,Architecture,building type,built heritage asset
business centre,phenomenon_object,Architecture,building type,business centre
cafeteria,phenomenon_object,Architecture,building type,cafeteria
classroom,phenomenon_object,Architecture,building type,classroom
college campus,phenomenon_object,Architecture,building type,college campus
commercial building,phenomenon_object,Architecture,building type,commercial building
commercial construction,phenomenon_object,Architecture,building type,commercial construction
commercial office,phenomenon_object,Architecture,building type,commercial office
container house,phenomenon_object,Architecture,building type,container house
corporate headquarters,phenomenon_object,Architecture,building type,corporate headquarters
cultural heritage building,phenomenon_object,Architecture,building type,cultural heritage building
domestic building,phenomenon_object,Architecture,building type,domestic building
domestic construction,phenomenon_object,Architecture,building type,domestic construction
dormitory,phenomenon_object,Architecture,building type,dormitory
dwelling house,phenomenon_object,Architecture,building type,dwelling house
educational building,phenomenon_object,Architecture,building type,educational building
educational facility,phenomenon_object,Architecture,building type,educational facility
elementary school,phenomenon_object,Architecture,building type,elementary school
emergency shelter,phenomenon_object,Architecture,building type,emergency shelter
evacuation centre,phenomenon_object,Architecture,building type,evacuation centre
event centre,phenomenon_object,Architecture,building type,event centre
exhibition centre,phenomenon_object,Architecture,building type,exhibition centre
extra-care home,phenomenon_object,Architecture,building type,extra-care home
extra-care housing,phenomenon_object,Architecture,building type,extra-care housing
glass house,phenomenon_object,Architecture,building type,glass house
health care facility,phenomenon_object,Architecture,building type,health care facility
health facility,phenomenon_object,Architecture,building type,health facility
healthcare built environment,phenomenon_object,Architecture,building type,healthcare built environment
heritage building,phenomenon_object,Architecture,building type,heritage building
heritage property,phenomenon_object,Architecture,building type,heritage property
high rise,phenomenon_object,Architecture,building type,high rise
higher education facility,phenomenon_object,Architecture,building type,higher education facility
high-rise building,phenomenon_object,Architecture,building type,high-rise building
high-rise dormitory,phenomenon_object,Architecture,building type,high-rise dormitory
high-rise residential building,phenomenon_object,Architecture,building type,high-rise residential building
historic building,phenomenon_object,Architecture,building type,historic building
historic masonry building,phenomenon_object,Architecture,building type,historic masonry building
historical building,phenomenon_object,Architecture,building type,historical building
historical structure,phenomenon_object,Architecture,building type,historical structure
home building,phenomenon_object,Architecture,building type,home building
hostel,phenomenon_object,Architecture,building type,hostel
hotel,phenomenon_object,Architecture,building type,hotel
house construction,phenomenon_object,Architecture,building type,house construction
housing,phenomenon_object,Architecture,building type,housing
industrial facility design,phenomenon_object,Architecture,building type,industrial facility design
industrialized construction,phenomenon_process,Architecture,building type,industrialized construction
industrialized house-building,phenomenon_object,Architecture,building type,industrialized house-building
institutional building,phenomenon_object,Architecture,building type,institutional building
learning space,concept,Architecture,building type,learning space
low-energy house,concept,Architecture,building type,low-energy house
multistory building,phenomenon_object,Architecture,building type,multistory building
non-domestic building,phenomenon_object,Architecture,building type,non-domestic building
non-residential building,phenomenon_object,Architecture,building type,non-residential building
nursing home,phenomenon_object,Architecture,building type,nursing home
office building,phenomenon_object,Architecture,building type,office building
office property,phenomenon_object,Architecture,building type,office property
office space,phenomenon_object,Architecture,building type,office space
public building,phenomenon_object,Architecture,building type,public building
public sector building,phenomenon_object,Architecture,building type,public sector building
recreational facility,phenomenon_object,Architecture,building type,recreational facility
research centre,phenomenon_process,Architecture,building type,research centre
research facility,theoretical_framing,Architecture,building type,research facility
residential building,phenomenon_object,Architecture,building type,residential building
residential care home,phenomenon_object,Architecture,building type,residential care home
retail building,phenomenon_object,Architecture,building type,retail building
retail project,phenomenon_process,Architecture,building type,retail project
safe room,phenomenon_object,Architecture,building type,safe room
school building,phenomenon_object,Architecture,building type,school building
school classroom,phenomenon_object,Architecture,building type,school classroom
shopping centre,phenomenon_object,Architecture,building type,shopping centre
skyscraper,phenomenon_object,Architecture,building type,skyscraper
smart building,phenomenon_object,Architecture,building type,smart building
smart factory,concept,Architecture,building type,smart factory
smart house,phenomenon_object,Architecture,building type,smart house
smart housing,phenomenon_object,Architecture,building type,smart housing
student cafeteria,phenomenon_object,Architecture,building type,student cafeteria
student housing,phenomenon_object,Architecture,building type,student housing
