iterm,facet,domain,subject,lword
acquisition,phenomenon_process,Business Strategy,business,acquisition
advertising,phenomenon_process,Business Strategy,business,advertising
affordability,concept,Business Strategy,economic analysis,affordability
agile manufacturing,concept,Business Strategy,business,agile manufacturing
ambidexterity,theoretical_framing,Business Strategy,strategic management,ambidexterity
annuity,concept,Business Strategy,economics,annuity
arbitrage,concept,Business Strategy,transaction economics,arbitrage
architectural firm,phenomenon_object,Business Strategy,business,architectural firm
architectural practice,phenomenon_object,Business Strategy,business,architectural practice
architecture design firm,phenomenon_object,Business Strategy,business,architecture design firm
asphalt contractor,phenomenon_object,Business Strategy,organization,asphalt contractor
asphalt road maintenance,concept,Business Strategy,maintenance engineering,asphalt road maintenance
asset information management,concept,Business Strategy,asset management,asset information management
asset inventory,concept,Business Strategy,asset management,asset inventory
asset management,concept,Business Strategy,asset management,asset management
asset management planning,phenomenon_process,Business Strategy,asset management,asset management planning
backlog maintenance,phenomenon_process,Business Strategy,business,backlog maintenance
banking,concept,Business Strategy,economic analysis,banking
best practice,concept,Business Strategy,business,best practice
brand name,concept,Business Strategy,business,brand name
bridge condition rating,phenomenon_process,Business Strategy,asset management,bridge condition rating
budgeting,phenomenon_process,Business Strategy,financial management,budgeting
building age,concept,Business Strategy,asset management,building age
building assessment,phenomenon_process,Business Strategy,asset management,building assessment
building condition,concept,Business Strategy,asset management,building condition
building evaluation,phenomenon_process,Business Strategy,asset management,building evaluation
building firm,phenomenon_object,Business Strategy,organization,building firm
building investment,concept,Business Strategy,asset management,building investment
building life cycle,concept,Business Strategy,asset management,building life cycle
building lifespan,concept,Business Strategy,asset management,building lifespan
building management,phenomenon_process,Business Strategy,facilities management,building management
building monitoring,phenomenon_process,Business Strategy,asset management,building monitoring
building operation,phenomenon_process,Business Strategy,management,building operation
building refurbishment,phenomenon_process,Business Strategy,asset management,building refurbishment
building renovation,phenomenon_process,Business Strategy,asset management,building renovation
building stock,concept,Business Strategy,asset management,building stock
built asset,concept,Business Strategy,asset management,built asset
built asset management,phenomenon_process,Business Strategy,asset management,built asset management
business administration,concept,Business Strategy,business,business administration
business competition,concept,Business Strategy,economics,business competition
business competitivenes,concept,Business Strategy,economics,business competitivenes
business cycle analysis,concept,Business Strategy,economic analysis,business cycle analysis
business development,concept,Business Strategy,business,business development
business growth,concept,Business Strategy,strategic management,business growth
business management,concept,Business Strategy,business,business management
business marketing,concept,Business Strategy,business,business marketing
business model,concept,Business Strategy,business,business model
business process model notation,phenomenon_process,Business Strategy,business,business process model notation
business process re-engineering,phenomenon_process,Business Strategy,business,business process re-engineering
business relationship,concept,Business Strategy,strategic management,business relationship
business strategy,concept,Business Strategy,business,business strategy
business support service,concept,Business Strategy,business,business support service
cap and trade,phenomenon_process,Business Strategy,economic analysis,cap and trade
capability maturity model,concept,Business Strategy,management,capability maturity model
capital assets,phenomenon_object,Business Strategy,asset management,capital assets
capital expenditure,concept,Business Strategy,economic analysis,capital expenditure
capital flow,concept,Business Strategy,economic analysis,capital flow
capital investment,phenomenon_object,Business Strategy,economic analysis,capital investment
capital stock,concept,Business Strategy,economic analysis,capital stock
capital structure,concept,Business Strategy,economic analysis,capital structure
cash flow classification,concept,Business Strategy,economic analysis,cash flow classification
cleaning,concept,Business Strategy,maintenance engineering,cleaning
collaborative advantage theory,theoretical_framing,Business Strategy,management,collaborative advantage theory
collaborative facilities management,phenomenon_process,Business Strategy,collaborative management,collaborative facilities management
collaborative management,concept,Business Strategy,management,collaborative management
collaborative performance assessment,phenomenon_process,Business Strategy,collaborative management,collaborative performance assessment
collaborative practice,concept,Business Strategy,collaborative management,collaborative practice
commerce,concept,Business Strategy,asset management,commerce
commercial bank,phenomenon_object,Business Strategy,economic analysis,commercial bank
company survival,concept,Business Strategy,business,company survival
competitive asset,concept,Business Strategy,asset management,competitive asset
competitive busines,concept,Business Strategy,business management,competitive busines
competitive strategy,concept,Business Strategy,economic analysis,competitive strategy
compound interest,concept,Business Strategy,economic analysis,compound interest
condition assessment reporting,phenomenon_process,Business Strategy,asset management,condition assessment reporting
consensus building,phenomenon_process,Business Strategy,collaborative management,consensus building
construction company,phenomenon_object,Business Strategy,organization,construction company
construction contracting firm,phenomenon_object,Business Strategy,organization,construction contracting firm
construction firm,phenomenon_object,Business Strategy,organization,construction firm
construction industry management,concept,Business Strategy,management,construction industry management
construction industry performance,analytical_technique,Business Strategy,industry analysis,construction industry performance
construction industry practice,concept,Business Strategy,management,construction industry practice
construction marketing,concept,Business Strategy,business,construction marketing
construction organization,phenomenon_object,Business Strategy,organization,construction organization
construction process modelling,phenomenon_process,Business Strategy,management,construction process modelling
control method,phenomenon_process,Business Strategy,monitoring and control,control method
control system,concept,Business Strategy,monitoring and control,control system
co-production,phenomenon_process,Business Strategy,innovation studies,co-production
corporate real estate,phenomenon_object,Business Strategy,strategic management,corporate real estate
cost index,concept,Business Strategy,economic analysis,cost index
crowdfunding,phenomenon_process,Business Strategy,economic analysis,crowdfunding
customer equity,concept,Business Strategy,strategic management,customer equity
customer preference,concept,Business Strategy,strategic management,customer preference
customer relationship management,phenomenon_process,Business Strategy,strategic management,customer relationship management
customer-value segmentation,concept,Business Strategy,business,customer-value segmentation
customization,phenomenon_process,Business Strategy,construction manufacturing,customization
customizing,phenomenon_process,Business Strategy,construction manufacturing,customizing
debt-equity ratio,concept,Business Strategy,economic analysis,debt-equity ratio
decommodification,concept,Business Strategy,economic analysis,decommodification
demand guarantee,phenomenon_object,Business Strategy,economic analysis,demand guarantee
deposit protection,concept,Business Strategy,economic analysis,deposit protection
design for repair,concept,Business Strategy,maintenance engineering,design for repair
destabilization,concept,Business Strategy,management,destabilization
development fund,phenomenon_object,Business Strategy,economic analysis,development fund
discontinuance,concept,Business Strategy,organization,discontinuance
discontinuous innovation,phenomenon_process,Business Strategy,innovation studies,discontinuous innovation
discount factor,concept,Business Strategy,economic analysis,discount factor
discount rates,concept,Business Strategy,economic analysis,discount rates
division of labour,concept,Business Strategy,business economics,division of labour
domestic maintenance,phenomenon_process,Business Strategy,maintenance engineering,domestic maintenance
domestic repair,phenomenon_process,Business Strategy,maintenance engineering,domestic repair
dynamic capability,theoretical_framing,Business Strategy,management,dynamic capability
econometric,analytical_technique,Business Strategy,economic analysis,econometric
economic activity,concept,Business Strategy,economic analysis,economic activity
economic condition,concept,Business Strategy,economic analysis,economic condition
economic cycle,concept,Business Strategy,business management,economic cycle
economic flow,concept,Business Strategy,economic analysis,economic flow
economic incentive,concept,Business Strategy,economic analysis,economic incentive
economic influence,concept,Business Strategy,economic analysis,economic influence
economic instruments,concept,Business Strategy,economic analysis,economic instruments
economic recovery,concept,Business Strategy,economic analysis,economic recovery
economic theory,concept,Business Strategy,economic analysis,economic theory
economic value added,concept,Business Strategy,economic analysis,economic value added
emissions trading,phenomenon_process,Business Strategy,business management,emissions trading
enterprise system,phenomenon_object,Business Strategy,management,enterprise system
entrenching,concept,Business Strategy,psychology,entrenching
entrepreneurship,concept,Business Strategy,business,entrepreneurship
environmental scanning,phenomenon_process,Business Strategy,strategic management,environmental scanning
evidence-based management,concept,Business Strategy,management,evidence-based management
exit strategy,concept,Business Strategy,business,exit strategy
expected return,concept,Business Strategy,economic analysis,expected return
exploitation,concept,Business Strategy,management,exploitation
facilitative,concept,Business Strategy,management,facilitative
facilities asset management,phenomenon_process,Business Strategy,asset management,facilities asset management
fair value,concept,Business Strategy,economic analysis,fair value
feature fatigue,concept,Business Strategy,innovation studies,feature fatigue
financial capital,concept,Business Strategy,asset management,financial capital
financial debt,concept,Business Strategy,economic analysis,financial debt
financial distress,concept,Business Strategy,economic analysis,financial distress
financial failure,phenomenon_process,Business Strategy,business management,financial failure
financial incentive,concept,Business Strategy,economic analysis,financial incentive
financial intermediation,concept,Business Strategy,economic analysis,financial intermediation
financial performance,concept,Business Strategy,business analysis,financial performance
financial viability,concept,Business Strategy,business management,financial viability
financing,phenomenon_process,Business Strategy,economic analysis,financing
firm capability,concept,Business Strategy,business,firm capability
firm competitivenes,concept,Business Strategy,business management,firm competitivenes
firm performance,concept,Business Strategy,business analysis,firm performance
fixed assets,concept,Business Strategy,asset management,fixed assets
funding,concept,Business Strategy,economic analysis,funding
gravity model,analytical_technique,Business Strategy,economic analysis,gravity model
gross domestic product,analytical_technique,Business Strategy,economic analysis,gross domestic product
hedonic model,analytical_technique,Business Strategy,economic analysis,hedonic model
high-value,concept,Business Strategy,economic analysis,high-value
historical cost data,concept,Business Strategy,economic analysis,historical cost data
holistic approach,concept,Business Strategy,business,holistic approach
homeownership,concept,Business Strategy,economic analysis,homeownership
house price,concept,Business Strategy,economic analysis,house price
house size,concept,Business Strategy,economic analysis,house size
housebuilding,phenomenon_process,Business Strategy,construction integration,housebuilding
housing affordability,concept,Business Strategy,industry analysis,housing affordability
housing bubble,concept,Business Strategy,industry analysis,housing bubble
residential construction,phenomenon_process,Business Strategy,construction integration,housing construction
housing stock,concept,Business Strategy,industry analysis,housing stock
hybrid practice,concept,Business Strategy,business,hybrid practice
hybrid strategy,concept,Business Strategy,business,hybrid strategy
improvement agenda,concept,Business Strategy,business,improvement agenda
incentive payoff,concept,Business Strategy,economic analysis,incentive payoff
income,concept,Business Strategy,economic analysis,income
incubator,concept,Business Strategy,innovation studies,incubator
industrial management,phenomenon_process,Business Strategy,management,industrial management
industry analysis,analytical_technique,Business Strategy,strategic management,industry analysis
industry development,phenomenon_process,Business Strategy,organization,industry development
industry growth,concept,Business Strategy,strategic management,industry growth
industry improvement initiative,phenomenon_process,Business Strategy,organization,industry improvement initiative
industry norm,concept,Business Strategy,business,industry norm
industry transformation,phenomenon_process,Business Strategy,organization,industry transformation
inflation,analytical_technique,Business Strategy,economic analysis,inflation
information asymmetry,concept,Business Strategy,transaction economics,information asymmetry
infrastructure asset management,phenomenon_process,Business Strategy,asset management,infrastructure asset management
innovation adoption,phenomenon_process,Business Strategy,innovation studies,innovation adoption
innovation barrier,concept,Business Strategy,innovation studies,innovation barrier
innovation blocker,concept,Business Strategy,innovation studies,innovation blocker
innovation creation,phenomenon_process,Business Strategy,innovation studies,innovation creation
innovation development,phenomenon_process,Business Strategy,innovation studies,innovation development
innovation management,phenomenon_process,Business Strategy,innovation studies,innovation management
innovation orientation,concept,Business Strategy,business,innovation orientation
innovation strategy,concept,Business Strategy,business,innovation strategy
innovation system,concept,Business Strategy,business,innovation system
innovative company,concept,Business Strategy,innovation studies,innovative company
innovative financing,phenomenon_process,Business Strategy,economic analysis,innovative financing
institution,phenomenon_object,Business Strategy,sociology,institution
institutional change,phenomenon_process,Business Strategy,sociology,institutional change
institutional economics,theoretical_framing,Business Strategy,economic analysis,institutional economics
institutional finance,phenomenon_process,Business Strategy,economic analysis,institutional finance
institutional pressure,concept,Business Strategy,sociology,institutional pressure
institutional theory,theoretical_framing,Business Strategy,sociology,institutional theory
institutional trend,concept,Business Strategy,sociology,institutional trend
insurance,concept,Business Strategy,economic analysis,insurance
intangible resource,phenomenon_object,Business Strategy,asset management,intangible resource
integrated design and construction,phenomenon_process,Business Strategy,construction integration,integrated design and construction
integrated practice,concept,Business Strategy,management,integrated practice
integrated solution,concept,Business Strategy,innovation studies,integrated solution
interest rate,concept,Business Strategy,economic analysis,interest rate
interface management,concept,Business Strategy,business,interface management
inter-firm collaboration,concept,Business Strategy,business,inter-firm collaboration
interfirm relationship,concept,Business Strategy,business,interfirm relationship
interim payment,concept,Business Strategy,economic analysis,interim payment
intermediary,concept,Business Strategy,business,intermediary
interorganizational,concept,Business Strategy,business,interorganizational
interorganizational relationship,concept,Business Strategy,business,interorganizational relationship
investment banking,concept,Business Strategy,economic analysis,investment banking
investment decision,concept,Business Strategy,economic analysis,investment decision
investment decision-making,phenomenon_process,Business Strategy,cognitive psychology,investment decision-making
investment incentive,concept,Business Strategy,economic analysis,investment incentive
investment strategy,concept,Business Strategy,economic analysis,investment strategy
joint venture,concept,Business Strategy,business,joint venture
key account management,phenomenon_process,Business Strategy,relationship management,key account management
labour resource,concept,Business Strategy,business economics,labour resource
lean and agile principle,concept,Business Strategy,management,lean and agile principle
lean principles in construction,theoretical_framing,Business Strategy,lean construction,lean principles in construction
leanness,concept,Business Strategy,management,leanness
liberalization,concept,Business Strategy,economic analysis,liberalization
life cycle profit,concept,Business Strategy,economic analysis,life cycle profit
linkage,concept,Business Strategy,business,linkage
liquidity,concept,Business Strategy,economic analysis,liquidity
local economy,theoretical_framing,Business Strategy,economic analysis,local economy
long-run equilibrium,analytical_technique,Business Strategy,economic analysis,long-run equilibrium
low-effort strategy,concept,Business Strategy,business,low-effort strategy
macroeconomic performance,concept,Business Strategy,economic analysis,macroeconomic performance
macroeconomic variable,concept,Business Strategy,economic analysis,macroeconomic variable
mainstreaming,phenomenon_process,Business Strategy,business,mainstreaming
maintainability,concept,Business Strategy,maintenance engineering,maintainability
maintenance contract,phenomenon_object,Business Strategy,maintenance engineering,maintenance contract
maintenance cost,concept,Business Strategy,financial management,maintenance cost
maintenance management,phenomenon_process,Business Strategy,maintenance engineering,maintenance management
maintenance management system,concept,Business Strategy,management,maintenance management system
management innovation,concept,Business Strategy,management,management innovation
management issue,concept,Business Strategy,management,management issue
management mechanism,concept,Business Strategy,management,management mechanism
management method,concept,Business Strategy,management,management method
management of the firm,concept,Business Strategy,management,management of the firm
management practice,phenomenon_process,Business Strategy,management,management practice
management science,theoretical_framing,Business Strategy,management,management science
management strategy,concept,Business Strategy,management,management strategy
management theory,theoretical_framing,Business Strategy,management,management theory
managerialism,concept,Business Strategy,management,managerialism
managing innovation,phenomenon_process,Business Strategy,innovation studies,managing innovation
mandated collaboration,concept,Business Strategy,management,mandated collaboration
market entry strategy,concept,Business Strategy,business,market entry strategy
market failure,concept,Business Strategy,economic analysis,market failure
market intelligence,phenomenon_process,Business Strategy,strategic management,market intelligence
market mechanisms,theoretical_framing,Business Strategy,economic analysis,market mechanisms
market positioning,concept,Business Strategy,business,market positioning
market valuation,concept,Business Strategy,economic analysis,market valuation
marketing,concept,Business Strategy,business,marketing
markets,concept,Business Strategy,economic analysis,markets
materiality,theoretical_framing,Business Strategy,sociology,materiality
meeting,phenomenon_process,Business Strategy,management,meeting
merger,phenomenon_process,Business Strategy,business,merger
merging unit,concept,Business Strategy,business,merging unit
microeconomic modelling,analytical_technique,Business Strategy,economic analysis,microeconomic modelling
microeconomics,theoretical_framing,Business Strategy,business development,microeconomics
micro-enterprise,concept,Business Strategy,business development,micro-enterprise
monthly balance,concept,Business Strategy,economic analysis,monthly balance
mortgage,concept,Business Strategy,economic analysis,mortgage
national economy,concept,Business Strategy,economic analysis,national economy
net asset,concept,Business Strategy,economic analysis,net asset
net present value,concept,Business Strategy,economic analysis,net present value
new build,concept,Business Strategy,construction integration,new build
new product adoption,concept,Business Strategy,innovation studies,new product adoption
new product development,concept,Business Strategy,innovation studies,new product development
niche market,concept,Business Strategy,business,niche market
non-adversarial,concept,Business Strategy,management,non-adversarial
non-profit,concept,Business Strategy,organization,non-profit
non-value-adding activity,concept,Business Strategy,management,non-value-adding activity
obsolescence,concept,Business Strategy,asset management,obsolescence
occupancy cost,concept,Business Strategy,economic analysis,occupancy cost
